index;spacing;probefreq;vmult;shots;sideband;size
0;2e-11;40960;1.52587890625e-06;707340;LowerSideband;750000
1;2e-11;40960;1.52587890625e-06;89820;LowerSideband;750000
2;2e-11;40960;1.52587890625e-06;179840;LowerSideband;750000
3;2e-11;40960;1.52587890625e-06;269840;LowerSideband;750000
4;2e-11;40960;1.52587890625e-06;359860;LowerSideband;750000
5;2e-11;40960;1.52587890625e-06;449860;LowerSideband;750000
6;2e-11;40960;1.52587890625e-06;539860;LowerSideband;750000
7;2e-11;40960;1.52587890625e-06;629860;LowerSideband;750000
